Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
1/1/2006 0:00,5.12,1.788,2.012,2.012
1/1/2006 0:10,5.12,1.788,2.227,2.227
1/1/2006 0:20,5.14,1.812,0.13,0.13
1/1/2006 0:30,5.17,1.848,2.311,2.311
1/1/2006 0:40,5.24,1.929,1.849,1.849
1/1/2006 0:50,5.36,2.118,0.079,0.079
1/1/2006 1:00,5.51,2.358,1.564,1.564
1/1/2006 1:10,5.66,2.583,2.369,2.369
1/1/2006 1:20,5.81,2.814,3.466,3.466
1/1/2006 1:30,5.96,3.063,3.764,3.764
1/1/2006 1:40,6.09,3.258,1.857,1.857
1/1/2006 1:50,6.1,3.279,4.023,4.023
1/1/2006 2:00,5.91,2.982,3.632,3.632
1/1/2006 2:10,5.43,2.232,1.914,1.914
1/1/2006 2:20,4.88,1.542,1.738,1.738
1/1/2006 2:30,4.6,1.236,0,0
1/1/2006 2:40,4.55,1.194,0.757,0.757
1/1/2006 2:50,4.55,1.185,1.655,1.655
1/1/2006 3:00,4.51,1.146,1.327,1.327
1/1/2006 3:10,4.46,1.098,1.762,1.762
1/1/2006 3:20,4.47,1.107,1.063,1.063
1/1/2006 3:30,4.59,1.239,0,0
1/1/2006 3:40,4.87,1.545,1.839,1.839
1/1/2006 3:50,5.4,2.211,2.748,2.748
1/1/2006 4:00,6.02,3.189,3.181,3.181
1/1/2006 4:10,6.56,4.236,4.356,4.356
1/1/2006 4:20,6.87,4.926,5.022,5.022
1/1/2006 4:30,6.88,4.953,4.456,4.456
1/1/2006 4:40,6.78,4.749,4.705,4.705
1/1/2006 4:50,6.78,4.731,3.431,3.431
1/1/2006 5:00,6.86,4.926,4.961,4.961
1/1/2006 5:10,7.01,5.253,1.256,1.256
1/1/2006 5:20,7.21,5.676,4.877,4.877
1/1/2006 5:30,7.37,6.123,2.974,2.974
1/1/2006 5:40,7.48,6.438,4.034,4.034
1/1/2006 5:50,7.57,6.693,7.471,7.471
1/1/2006 6:00,7.65,6.939,7.212,7.212
1/1/2006 6:10,7.73,7.182,6.139,6.139
1/1/2006 6:20,7.81,7.425,9.062,9.062
1/1/2006 6:30,7.87,7.605,4.173,4.173
1/1/2006 6:40,7.95,7.818,7.233,7.233
1/1/2006 6:50,8.04,8.103,7.313,7.313
1/1/2006 7:00,8.17,8.475,9.01,9.01
1/1/2006 7:10,8.31,8.907,9.562,9.562
1/1/2006 7:20,8.4,9.24,7.551,7.551
1/1/2006 7:30,8.46,9.474,9.063,9.063
1/1/2006 7:40,8.57,9.885,9.324,9.324
1/1/2006 7:50,8.76,10.575,10.681,10.681
1/1/2006 8:00,8.98,11.421,11.746,11.746
1/1/2006 8:10,9.26,12.462,13.653,13.653
1/1/2006 8:20,9.48,13.341,12.428,12.428
1/1/2006 8:30,9.55,13.65,14.484,14.484
1/1/2006 8:40,9.43,13.155,13.88,13.88
1/1/2006 8:50,9.26,12.447,10.838,10.838
1/1/2006 9:00,9.04,11.652,9.462,9.462
1/1/2006 9:10,8.84,10.905,10.523,10.523
